crop_id,dataset_path,polygon_rank_x,joint_position,board,package,cell,viewpoint,class,group_id,split,split_hash
SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_33_34_Pro.jpg#1,SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_33_34_Pro.jpg,1,left,CS1,R0805,CS1/R0805,V2.1,spike,manual_001,train,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_33_34_Pro.jpg#2,SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_33_34_Pro.jpg,2,right,CS1,R0805,CS1/R0805,V2.1,excess,manual_001,train,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_34_05_Pro.jpg#1,SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_34_05_Pro.jpg,1,left,CS1,R0805,CS1/R0805,V2.1,insufficient,manual_002,test,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_34_05_Pro.jpg#2,SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_34_05_Pro.jpg,2,right,CS1,R0805,CS1/R0805,V2.1,excess,manual_002,test,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_36_37_Pro.jpg#1,SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_36_37_Pro.jpg,1,left,CS1,R0805,CS1/R0805,V2.1,insufficient,manual_003,train,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_36_37_Pro.jpg#2,SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_36_37_Pro.jpg,2,right,CS1,R0805,CS1/R0805,V2.1,normal,manual_003,train,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_37_02_Pro.jpg#1,SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_37_02_Pro.jpg,1,left,CS1,R0805,CS1/R0805,V2.1,normal,manual_004,val,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_37_02_Pro.jpg#2,SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_37_02_Pro.jpg,2,right,CS1,R0805,CS1/R0805,V2.1,insufficient,manual_004,val,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_37_25_Pro.jpg#1,SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_37_25_Pro.jpg,1,left,CS1,R0805,CS1/R0805,V2.1,excess,manual_005,train,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_37_25_Pro.jpg#2,SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_37_25_Pro.jpg,2,right,CS1,R0805,CS1/R0805,V2.1,excess,manual_005,train,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
